Date,CPI National Year on Year Inflation,Advances by banks,Auto Sales,Consumer Confidence Index,Call Money Rate (End of Period),IMF Commodity Prices,National Consumer Price Index,Deposit Rate,Pakistani Rupee to US Dollar Nominal Exchange Rate,Economic Policy Uncertainty,Karachi Stock Exchange 100 Index,KIBOR 1 Year Interest Rate,Lending Rate,International Oil Prices,SBP Policy Rate,Public Sector Borrowing,Real Output - Quantum Index of Large-Scale Manufacturing Industries,Real Effective Exchange Rate,Interest Rate Spread,Exchange Rate Differential,Inflation Expectations,Banking Activity Index,Stock Market Volatility,Commodity Price Index
2012-01-01,0.32780785923966704,-0.7472874014801036,-0.4460743541272842,-1.1750792489636679,0.5257924176507148,0.5801299616378295,-0.6910341611285978,0.6262734584450402,-0.31464229595559673,-0.16990875469724784,-2.2276702982228946,0.49949238578680283,0.4387527839643653,0.8699000114929314,0.49285362247412523,-0.6690392502948976,-1.3162219712296164,0.16019186396302765,-0.002036666200966042,0.4748341599186244,0.0329387951765896,-0.6755718124630204,,0.6668926933823169
2012-02-01,0.5038886871603796,-0.7282019868346149,0.40584751102709515,-1.130699829309925,0.6799254195152267,0.6975651765442727,-0.6686487116707457,0.6176943699731906,-0.30655227494965415,0.22135462696227112,-2.146520368794911,0.49746192893401103,0.4253897550111358,1.0078151936559012,0.49285362247412523,-0.6570215953536512,-1.3083377291882694,0.04115290275234114,-0.004067123053757837,0.34770517770199527,0.18707179704110144,-0.6485432844161175,-0.03642815972036817,0.6921558445788254
2012-03-01,0.4510356405086877,-0.7179880854066276,0.3165217391304348,-1.086320409656182,0.6177750155376008,0.6997573005558603,-0.6504605339862406,0.5447721179624667,-0.30562561874691435,-0.24010776529903882,-2.0750073929698205,0.5116751269035542,0.37639198218262826,1.1255028157683022,0.49285362247412523,-0.6522302724679169,-1.302352804109158,0.1170522237575449,-4.760500266498546e-05,0.4226778425044593,0.1249213930634756,-0.657447220043559,-0.03331576856418972,0.621728609428831
2012-04-01,0.5206248052695334,-0.7191988518373008,0.12002520478890989,-1.2048280907095836,0.6326911124922312,0.6878571987786734,-0.6306400839454336,0.551206434316354,-0.30692883748897,-0.009566151972761828,-2.0565102027028934,0.5197969543147215,0.38530066815144765,1.0319503505344212,0.49285362247412523,-0.6435241684849715,-1.2935238635159632,0.2274698683662461,-0.0021194575099483526,0.5343987058552161,0.13983749001810597,-0.651768330822585,-0.008914276801902488,0.6665603615740325
2012-05-01,0.6943501509370804,-0.7128656120460869,0.3595715185885318,-1.3233357717629852,0.5133623368551894,0.5084161904016283,-0.599160545645329,0.574798927613941,-0.2937265895667882,0.15836046624018862,-2.072996019730227,0.5238578680203052,0.4387527839643653,0.8154235145385587,0.49285362247412523,-0.6322303032877611,-1.2805755041792017,0.3353553317950704,-9.727978805473825e-05,0.6290819213618586,0.020508714381064164,-0.6441968504477766,0.00801640420050731,0.6234995451281986
2012-06-01,0.5145275427661,-0.6838387761483632,0.7834152488972905,-1.1175323091928804,0.5755127408328153,0.4219838722304864,-0.5996269091757007,0.6155495978552281,-0.24533917092035015,0.25731402141685816,-2.071799390196294,0.5258883248730974,0.4120267260579067,0.5067233651304445,0.49285362247412523,-0.6184839537513606,-1.2658345610032669,0.20818430047668415,-0.002144294902642674,0.4535234713970343,0.08265911835869011,-0.6463176018793116,-0.0005772464213843476,0.8327697147374608
2012-07-01,0.20317646629012429,-0.693554156878152,-0.6739256458727159,-0.9117288466227755,0.605344934742076,0.5068503875362087,-0.6224787221639251,0.5941018766756032,-0.24215140417047357,0.002222669168316865,-2.00904794325759,0.5218274111675134,0.4387527839643653,0.6455579818411675,0.49285362247412523,-0.6146107953303871,-1.2488451682273995,0.19479613627498235,-0.0021277366408465337,0.4369475404454559,0.11249131226795073,-0.6179746288477452,-0.030288379867105975,0.7851353430572464
2012-08-01,0.1469801032373133,-0.6905063301288475,-0.6808821676118463,-1.0575469397707884,0.38160348042262277,0.47240272449698556,-0.6077882709572097,0.482573726541555,-0.24130283697358249,-0.35226159801345297,-1.942656444748118,0.32284263959390963,0.43429844097995557,0.8448454200666589,0.19714144898965008,-0.6102737505940964,-1.2290337625998247,0.18154020085551928,-0.005393853780199742,0.42284303782910176,0.18446203143297268,-0.6298832284718268,-0.03304624896199382,0.5591587683101988
2012-09-01,0.14209979707363282,-0.6882531089391521,-0.7773660995589162,-1.2033650329188008,0.2473586078309485,0.5272058247866591,-0.5935641832808659,0.38820375335120655,-0.23868945824450713,-0.8194803081809201,-1.9388343501448042,0.19086294416243751,0.380846325167038,0.8627743937478449,0.19714144898965008,-0.5991029105895509,-1.2050943031405714,0.09660965402339063,-0.002816974288124441,0.33529911226789777,0.05021715884129843,-0.6210757970302486,-0.001967457814605722,0.61105872938174
2012-10-01,-0.08334484581922748,-0.6797674810176314,-0.4879143037177064,-1.003413801511827,0.0037290242386576926,0.5412980505754328,-0.5900664568030763,0.22091152815013393,-0.22448767104745976,-0.542762785820869,-1.9011886600945076,0.07715736040609224,0.33184855233853006,0.7908286403861622,0.09857072449482504,-0.566758977395662,-1.1764779299609545,0.029906844822912265,-0.006430814925203476,0.25439451587037204,-0.09484170025616735,-0.5790171576279917,-0.019416661380836864,0.6844694576452321
