Date,CPI National Year on Year Inflation,Advances by banks,Auto Sales,Consumer Confidence Index,Call Money Rate (End of Period),IMF Commodity Prices,National Consumer Price Index,Credit to the Private Sector,Deposits of Banks,Deposit Rate,Pakistani Rupee to US Dollar Nominal Exchange Rate,Economic Policy Uncertainty,Fertilizers Sales,Karachi Stock Exchange 100 Index,KIBOR 1 Year Interest Rate,KIBOR 6 months Interest Rate,Karachi Stock Exchange All Shares Index,Lending Rate,International Oil Prices,SBP Policy Rate,Public Sector Borrowing,Real Output - Quantum Index of Large-Scale Manufacturing Industries,Real Effective Exchange Rate,Weighted Average Overnight Repo Rate 
2012-01-01,0.32780785923966704,-0.7472874014801036,-0.4460743541272842,-1.1750792489636679,0.5257924176507148,0.5801299616378295,-0.6910341611285978,-0.6971113280559034,-0.7407548393119808,0.6262734584450402,-0.31464229595559673,-0.16990875469724784,-1.0001146171763589,-2.2276702982228946,0.49949238578680283,0.5015290519877689,-2.282986287394534,0.4387527839643653,0.8699000114929314,0.49285362247412523,-0.6690392502948976,-1.3162219712296164,0.16019186396302765,0.5058897394903583
2012-02-01,0.5038886871603796,-0.7282019868346149,0.40584751102709515,-1.130699829309925,0.6799254195152267,0.6975651765442727,-0.6686487116707457,-0.713377963563051,-0.7366802977721486,0.6176943699731906,-0.30655227494965415,0.22135462696227112,-0.9859398806958748,-2.146520368794911,0.49746192893401103,0.5015290519877689,-2.1963871253036418,0.4253897550111358,1.0078151936559012,0.49285362247412523,-0.6570215953536512,-1.3083377291882694,0.04115290275234114,0.6615487099206396
2012-03-01,0.4510356405086877,-0.7179880854066276,0.3165217391304348,-1.086320409656182,0.6177750155376008,0.6997573005558603,-0.6504605339862406,-0.7182832114877299,-0.7127711378309856,0.5447721179624667,-0.30562561874691435,-0.24010776529903882,-0.9717633958791243,-2.0750073929698205,0.5116751269035542,0.5117227319062192,-2.111874024036564,0.37639198218262826,1.1255028157683022,0.49285362247412523,-0.6522302724679169,-1.302352804109158,0.1170522237575449,0.5690967775730947
2012-04-01,0.5206248052695334,-0.7191988518373008,0.12002520478890989,-1.2048280907095836,0.6326911124922312,0.6878571987786734,-0.6306400839454336,-0.715624745256914,-0.7109546894996872,0.551206434316354,-0.30692883748897,-0.009566151972761828,-0.9575853873000912,-2.0565102027028934,0.5197969543147215,0.5219164118246699,-2.092316002165371,0.38530066815144765,1.0319503505344212,0.49285362247412523,-0.6435241684849715,-1.2935238635159632,0.2274698683662461,0.5816272943663291
2012-05-01,0.6943501509370804,-0.7128656120460869,0.3595715185885318,-1.3233357717629852,0.5133623368551894,0.5084161904016283,-0.599160545645329,-0.7312921789433116,-0.7008990648860713,0.574798927613941,-0.2937265895667882,0.15836046624018862,-0.9434066790153537,-2.072996019730227,0.5238578680203052,0.52395514780836,-2.104137814598941,0.4387527839643653,0.8154235145385587,0.49285362247412523,-0.6322303032877611,-1.2805755041792017,0.3353553317950704,0.5353813178429375
2012-06-01,0.5145275427661,-0.6838387761483632,0.7834152488972905,-1.1175323091928804,0.5755127408328153,0.4219838722304864,-0.5996269091757007,-0.7321574174185761,-0.6560051280204121,0.6155495978552281,-0.24533917092035015,0.25731402141685816,-0.9292284959738897,-2.071799390196294,0.5258883248730974,0.5280326197757401,-2.1048612066588124,0.4120267260579067,0.5067233651304445,0.49285362247412523,-0.6184839537513606,-1.2658345610032669,0.20818430047668415,0.6211039696471732
2012-07-01,0.20317646629012429,-0.693554156878152,-0.6739256458727159,-0.9117288466227755,0.605344934742076,0.5068503875362087,-0.6224787221639251,-0.7412796649967113,-0.690190323360794,0.5941018766756032,-0.24215140417047357,0.002222669168316865,-0.9150518125669295,-2.00904794325759,0.5218274111675134,0.52395514780836,-2.038017136701272,0.4387527839643653,0.6455579818411675,0.49285362247412523,-0.6146107953303871,-1.2488451682273995,0.19479613627498235,0.6258611304515581
2012-08-01,0.1469801032373133,-0.6905063301288475,-0.6808821676118463,-1.0575469397707884,0.38160348042262277,0.47240272449698556,-0.6077882709572097,-0.7423730257313518,-0.6708968522511172,0.482573726541555,-0.24130283697358249,-0.35226159801345297,-0.9008743830546837,-1.942656444748118,0.32284263959390963,0.3282364933741094,-1.9683275644218483,0.43429844097995557,0.8448454200666589,0.19714144898965008,-0.6102737505940964,-1.2290337625998247,0.18154020085551928,0.3147862129933712
2012-09-01,0.14209979707363282,-0.6882531089391521,-0.7773660995589162,-1.2033650329188008,0.2473586078309485,0.5272058247866591,-0.5935641832808659,-0.7471665520816024,-0.6662802224984544,0.38820375335120655,-0.23868945824450713,-0.8194803081809201,-0.8866946187154515,-1.9388343501448042,0.19086294416243751,0.19367991845056196,-1.9619287891414288,0.380846325167038,0.8627743937478449,0.19714144898965008,-0.5991029105895509,-1.2050943031405714,0.09660965402339063,0.2693156676741339
2012-10-01,-0.08334484581922748,-0.6797674810176314,-0.4879143037177064,-1.003413801511827,0.0037290242386576926,0.5412980505754328,-0.5900664568030763,-0.7460807889286146,-0.6675093007853017,0.22091152815013393,-0.22448767104745976,-0.542762785820869,-0.8725129724091594,-1.9011886600945076,0.07715736040609224,0.08358817533129571,-1.9308025025520001,0.33184855233853006,0.7908286403861622,0.09857072449482504,-0.566758977395662,-1.1764779299609545,0.029906844822912265,-0.004091240214742863
